attrition_id,employee_id,exit_date,exit_reason,attrition_type,regrettable_attrition_flag,notice_period_days,ingestion_timestamp,source_file_name,source_system,pipeline_run_id,attrition_flag
EXT000001,EMP0009,2024-02-10,Personal Reasons,Voluntary,0,0,2026-07-09 14:28:10 UTC,attrition.csv,Synthetic HR Source,RUN_20260709_152810_8b074d58,1
EXT000002,EMP0018,2024-04-25,Termination,Involuntary,0,30,2026-07-09 14:28:10 UTC,attrition.csv,Synthetic HR Source,RUN_20260709_152810_8b074d58,1
EXT000003,EMP0029,2026-02-18,Better Opportunity,Voluntary,1,30,2026-07-09 14:28:10 UTC,attrition.csv,Synthetic HR Source,RUN_20260709_152810_8b074d58,1
EXT000004,EMP0048,2025-12-26,Better Opportunity,Voluntary,0,30,2026-07-09 14:28:10 UTC,attrition.csv,Synthetic HR Source,RUN_20260709_152810_8b074d58,1
EXT000005,EMP0050,2024-07-22,Resignation,Voluntary,0,60,2026-07-09 14:28:10 UTC,attrition.csv,Synthetic HR Source,RUN_20260709_152810_8b074d58,1
EXT000006,EMP0052,2025-07-09,Better Opportunity,Voluntary,1,30,2026-07-09 14:28:10 UTC,attrition.csv,Synthetic HR Source,RUN_20260709_152810_8b074d58,1
EXT000007,EMP0056,2024-06-14,Relocation,Voluntary,0,60,2026-07-09 14:28:10 UTC,attrition.csv,Synthetic HR Source,RUN_20260709_152810_8b074d58,1
EXT000008,EMP0067,2024-02-14,Resignation,Voluntary,1,30,2026-07-09 14:28:10 UTC,attrition.csv,Synthetic HR Source,RUN_20260709_152810_8b074d58,1
EXT000009,EMP0069,2024-11-05,Termination,Involuntary,0,30,2026-07-09 14:28:10 UTC,attrition.csv,Synthetic HR Source,RUN_20260709_152810_8b074d58,1
EXT000010,EMP0071,2025-06-30,Retirement,Voluntary,0,30,2026-07-09 14:28:10 UTC,attrition.csv,Synthetic HR Source,RUN_20260709_152810_8b074d58,1
EXT000011,EMP0072,2026-05-23,Better Opportunity,Voluntary,1,30,2026-07-09 14:28:10 UTC,attrition.csv,Synthetic HR Source,RUN_20260709_152810_8b074d58,1
EXT000012,EMP0076,2024-11-08,Better Opportunity,Voluntary,1,30,2026-07-09 14:28:10 UTC,attrition.csv,Synthetic HR Source,RUN_20260709_152810_8b074d58,1
EXT000013,EMP0102,2026-06-24,Better Opportunity,Voluntary,0,30,2026-07-09 14:28:10 UTC,attrition.csv,Synthetic HR Source,RUN_20260709_152810_8b074d58,1
EXT000014,EMP0124,2024-11-14,Resignation,Voluntary,1,90,2026-07-09 14:28:10 UTC,attrition.csv,Synthetic HR Source,RUN_20260709_152810_8b074d58,1
EXT000015,EMP0130,2025-02-07,Personal Reasons,Voluntary,0,30,2026-07-09 14:28:10 UTC,attrition.csv,Synthetic HR Source,RUN_20260709_152810_8b074d58,1
EXT000016,EMP0153,2026-06-23,Better Opportunity,Voluntary,1,30,2026-07-09 14:28:10 UTC,attrition.csv,Synthetic HR Source,RUN_20260709_152810_8b074d58,1
EXT000017,EMP0155,2026-06-13,Better Opportunity,Voluntary,1,60,2026-07-09 14:28:10 UTC,attrition.csv,Synthetic HR Source,RUN_20260709_152810_8b074d58,1
EXT000018,EMP0164,2025-10-24,Better Opportunity,Voluntary,0,30,2026-07-09 14:28:10 UTC,attrition.csv,Synthetic HR Source,RUN_20260709_152810_8b074d58,1
EXT000019,EMP0174,2026-04-17,Better Opportunity,Voluntary,1,30,2026-07-09 14:28:10 UTC,attrition.csv,Synthetic HR Source,RUN_20260709_152810_8b074d58,1
EXT000020,EMP0188,2025-01-04,Better Opportunity,Voluntary,1,60,2026-07-09 14:28:10 UTC,attrition.csv,Synthetic HR Source,RUN_20260709_152810_8b074d58,1
EXT000021,EMP0190,2025-04-01,Resignation,Voluntary,1,30,2026-07-09 14:28:10 UTC,attrition.csv,Synthetic HR Source,RUN_20260709_152810_8b074d58,1
EXT000022,EMP0191,2024-12-22,Better Opportunity,Voluntary,1,30,2026-07-09 14:28:10 UTC,attrition.csv,Synthetic HR Source,RUN_20260709_152810_8b074d58,1
EXT000023,EMP0200,2025-08-30,Termination,Involuntary,0,60,2026-07-09 14:28:10 UTC,attrition.csv,Synthetic HR Source,RUN_20260709_152810_8b074d58,1
